Name,Artists,Album,Duration,Popularity,Song ID,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
Perplexing Pegasus,Rae Sremmurd,Perplexing Pegasus,204787,0,1Oun2dvnf06iPOKM96Hewr,1,1,4,0.000636,0.898,0.446,1.08e-05,0.36,-8.856,0.0799,0.288,145.979
Won't Be Late (feat. Drake),Swae Lee/Drake,Won't Be Late (feat. Drake),218709,72,2sqsNXfN0HtgDEgaHXiUTa,7,0,4,0.0824,0.915,0.588,0.000169,0.104,-6.302,0.0677,0.329,123.936
Free,6LACK,FREE 6LACK,263013,62,4Sv7Fo4bSpK0tM1WBspz4J,2,1,4,0.00292,0.755,0.535,4.99e-06,0.104,-5.088,0.0476,0.38,123.961
Often,The Weeknd,Beauty Behind The Madness,249040,78,4PhsKqMdgMEUSstTDAmMpg,7,0,4,0.222,0.572,0.631,0,0.135,-9.836,0.0476,0.0713,134.078
Spending Addiction,Gunna,Drip Season 3,186480,0,4XbhQKkTqhEkvUXhivLydC,1,1,4,0.704,0.89,0.455,0,0.101,-5.938,0.438,0.663,124.964
Solitaires (feat. Travis Scott),Future/Travis Scott,High Off Life,205666,74,4kfeRwpq5KUaqTkgi4TbDF,1,1,4,0.122,0.691,0.632,0,0.0646,-7.598,0.0513,0.488,169.982
SOHO,Jaden,The Sunset Tapes: A Cool Tape Story,208493,69,0gf2y5doKjsYaZJJZif4vz,8,0,4,0.342,0.547,0.596,0.335,0.148,-7.744,0.192,0.368,159.985
Cardigan,Don Toliver,Heaven Or Hell,158708,75,0Li1OuXXfi7950ilZUFGkF,4,0,4,0.248,0.747,0.497,0,0.138,-6.542,0.0401,0.0663,142.046
lose,Travis Scott,Birds In The Trap Sing McKnight,200452,62,2AGUFka8kBWCM47h5uTlDb,7,0,4,0.307,0.832,0.557,0,0.176,-3.947,0.053,0.279,125.999
Bitch Don’t Kill My Vibe,Kendrick Lamar,good kid m.A.A.d city (Deluxe),310720,66,712uvW1Vezq8WpQi38v2L9,1,1,4,0.0152,0.587,0.698,0,0.442,-8.948,0.0943,0.0985,133.954
Sky Fall,Travis Scott/Young Thug,Trap Still Boomin' 3,318093,58,7p7pzSVr2zovan3m1m5hFm,11,0,4,0.213,0.652,0.69,0,0.257,-7.1,0.0574,0.249,98.451
Kelly Price (feat. Travis Scott),Migos/Travis Scott,Culture,363934,65,204U3zjm9kkzX25Pr4Rdld,4,0,4,0.53,0.745,0.685,0,0.176,-5.7,0.0313,0.437,121.977
Balenciaga (feat. 21 Savage),Lil Keed/21 Savage,Keed Talk To 'Em,276200,48,6djNCvsOpseUl83uWqAl6A,5,1,4,0.0317,0.868,0.442,0,0.0891,-8.37,0.23,0.485,77.532
No Debate (feat. Young Thug),NAV/Young Thug,Good Intentions,128071,59,29eSqQBrdva2tPLYMneFzP,8,1,4,0.00209,0.857,0.654,0,0.115,-6.303,0.326,0.446,88.015
March Madness,Future,56 Nights,244511,66,3WcC6NH9J77xPEvj1SOL7z,8,1,3,0.159,0.5,0.69,0,0.104,-4.448,0.312,0.371,180.206
Trade-Off,Flatbush Zombies,3001: A Laced Odyssey,249360,51,4sY3JiBfTCqInH7Tov3dxx,2,1,4,0.0353,0.859,0.445,0,0.16,-9.161,0.363,0.147,140.045
Pull Up (feat. Lil Uzi Vert & YNW Melly),Lil Keed/YNW Melly/Lil Uzi Vert,Long Live Mexico,162400,55,2rFXS1iNJqCUrcU21fJfe7,0,0,4,0.0474,0.873,0.452,0,0.0495,-7.124,0.369,0.585,77.031
Bad Bad Bad (feat. Lil Baby),Young Thug/Lil Baby,So Much Fun,149040,73,1GeNui6m825V8jP4uKiIaH,6,1,4,0.0976,0.974,0.596,0,0.151,-8.888,0.184,0.892,111.959
Workin Out,JID,DiCaprio 2,226858,63,46Lx5epWOQBA3J86ovnxmV,10,0,4,0.384,0.818,0.57,0.000102,0.19,-8.067,0.285,0.561,126.938
Wasted,Don Toliver,Heaven Or Hell,171210,61,79EVtighsMYkWahVb9MnF8,1,1,4,0.0714,0.743,0.753,3.02e-06,0.088,-4.479,0.0424,0.697,157.046
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,AT.LONG.LAST.A$AP,126960,68,1j6kDJttn6wbVyMaM42Nxm,6,1,4,0.0123,0.485,0.72,0,0.0546,-5.991,0.127,0.0471,207.982
By Chance,Rae Sremmurd,SremmLife 2 (Deluxe),223733,51,3eaZlarqKQ4oAceRwJHfF5,1,0,4,0.0105,0.881,0.496,0.00168,0.315,-6.897,0.0592,0.216,130.965
ORANGE SODA,Baby Keem,DIE FOR MY BITCH,129882,79,5FkoSXiJPKTNyYgALRJFhD,1,1,4,0.177,0.83,0.564,0,0.128,-7.822,0.235,0.107,85.042
Nights,Frank Ocean,Blonde,307151,79,7eqoqGkKwgOaWNNHx90uEZ,5,0,4,0.42,0.466,0.548,1.01e-06,0.113,-9.362,0.118,0.423,89.815
BUTTERFLY EFFECT,Travis Scott,BUTTERFLY EFFECT,190677,2,1yxgsra98r3qAtxqiGZPiX,11,1,4,0.0714,0.763,0.598,0,0.112,-6.865,0.0539,0.182,140.987
Pedestrian,Gunna,Drip Season 3,225381,0,59F5U0HyyHE7jtbFaJnBnU,7,1,4,0.0906,0.736,0.578,1.58e-06,0.319,-7.387,0.129,0.133,172.96
PTSD (with Omen feat. Mereba Deante' Hitchcock & St. Beauty),Dreamville/Omen/Mereba/Deante' Hitchcock/St. Beauty,Revenge Of The Dreamers III,237853,49,5KUciA17ZXudpvWAc3mLHs,1,1,4,0.187,0.68,0.883,0,0.116,-5.387,0.395,0.59,96.173
