Name,Artists,Album,Duration,Popularity,Song ID,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
PTSD,Pop Smoke,Meet The Woo,199826,71,24b6djSbUFQtXAdyb3FMbr,10,0,4,0.124,0.599,0.622,0.00278,0.158,-4.313,0.264,0.199,91.615
Get Right Witcha,Migos,Culture,257545,64,76Y0gxtTxN0FyDCYh5qYQj,10,0,4,0.0646,0.95,0.743,1.19e-05,0.103,-5.861,0.238,0.62,136.98
Commercial (feat. Lil Uzi Vert),Lil Baby/Lil Uzi Vert,My Turn,214214,70,3tDqEKKUs6gf8zMvSuLyLA,11,0,4,0.048,0.892,0.486,0,0.146,-8.637,0.384,0.535,120.998
Seven Rings,Future,EVOL,205893,45,2O0PpdgMmzBj2ZY8cqjfpO,8,1,4,0.0972,0.744,0.7,0,0.111,-5.353,0.358,0.466,153.894
Life Goes On,Lil Baby/Gunna/Lil Uzi Vert,Harder Than Ever,247054,72,2bSk87AVkCIIC3Bcligq1z,1,1,4,0.0021,0.716,0.541,0,0.115,-7.909,0.149,0.387,139.978
Offended (feat. Young Thug & 21 Savage),Meek Mill/Young Thug/21 Savage,DC4,255483,60,40WxFAbt8UEK7jKLmIxRNY,4,0,4,0.187,0.92,0.53,0,0.103,-7.399,0.341,0.363,123.968
Thot Hoe,Future,Project E.T.,176587,36,7jut3DJ4sg1uyWZEwjZaJc,1,0,4,0.0511,0.842,0.635,0,0.193,-7.437,0.216,0.545,75.998
My Choppa Hate Niggas,21 Savage/Metro Boomin,Without Warning,148640,64,2D2w9943rsnJOGCrI4aMQp,0,0,4,0.0974,0.862,0.274,0.185,0.183,-5.818,0.484,0.146,77.493
Servin Killa Kam,Future,Future Hndrxx Presents: The WIZRD,186738,47,5FWyHjKMW85oZoqgG1zD9b,8,1,4,0.000807,0.847,0.661,0.00126,0.104,-4.614,0.0548,0.184,143.979
Scrape,Future,FUTURE,217173,46,0d9CyCAtOL3Txly9Jo02ra,2,1,4,0.133,0.928,0.496,0.000196,0.231,-8.385,0.154,0.0782,126.017
Gangstas,Pop Smoke,Shoot For The Stars Aim For The Moon,160000,75,1hg3RlqFZXJb5YgRoK9qmF,4,0,5,0.203,0.548,0.506,0.0001,0.0788,-7.434,0.102,0.557,119.987
Almighty (feat. HoodRich Pablo Juan),Gunna/HoodRich Pablo Juan,Drip Season 3 (Deluxe),144406,54,7tjXeAUgZEe2yE6nSOcqWA,1,1,4,0.208,0.952,0.334,1.57e-05,0.113,-11.375,0.471,0.274,117.977
Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),Lil Yachty/Future/Mike WiLL Made-It,Lil Boat 3,178900,66,1sxGIhaxY8eF52e1TlShSP,6,0,4,0.0704,0.887,0.597,0,0.178,-6.66,0.281,0.477,129.976
Ridin Strikers,Future,High Off Life,225347,60,6PHbWsTTlmQKF9i9VC1KFv,1,1,4,0.0106,0.595,0.534,0.00157,0.107,-8.747,0.318,0.134,162.066
